Assets,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
bfbf7a2b7ac635e67877b1ab87fd6629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
945010afbf9a55bbdffcb0895f946155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e68e20f592457b875ce29757ab855dfe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-nestle-purina-friskies-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-lionsgate-uwomt-user-slider-sensory-video-final-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84327cf26d2a91e2730ae7ddbfca6d59,89.0,6.0,511.0,202.0,196.0,422.0,900.0,600.0
08b7a12a72fb5100b27197c39bab1b70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-lionsgate-spiral-puzzle-v2-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bb631902fce625cf0dc87d80c027c905,0.0,0.0,600.0,900.0,900.0,600.0,900.0,600.0
adunit-western-union-sensory-unit-swipe-right-tap-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bcc5ae4665b6b8c2ff25dfdc65fbc65a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-chevy-hotspot-cpe-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-yamaha-user-slider-rotate-v3-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-showtime-dexture-post-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7fc571f85358c5d37efafde99b6896d7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-jaguar-nameplate-refresh-rfb-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79c36d2adb94900291f5ddf1f6580c43,0.0,0.0,600.0,500.0,500.0,600.0,500.0,600.0
c7ecd71b4632aea2ffca69a1d079b290,55.0,405.0,552.0,562.0,157.0,497.0,900.0,600.0
adunit-subway-better-for-you-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8fa19496d906812e1f44a983d347ee63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ef8b18ef78ad050d1a76b801d97a08c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-western-union-sensory-unit-swipe-up-tap-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7f25293ac6d5c570749cea2af84e8439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3c23316180b7da3e712c0596fa01ff74,100.0,10.0,504.0,161.0,151.0,404.0,500.0,600.0
459c60702cfaae32207a161b693df47c,89.0,6.0,511.0,202.0,196.0,422.0,900.0,600.0
adunit-standardchartered-bio-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-mouser-user-choice-v2-cpe-av-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61eb910425767fd90074a958328bee6a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-facebook-conversational-commerce-3-0-vn-unit2-v2-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a5bb9945be02e4181eee1dec5c25edc,0.0,0.0,600.0,200.0,200.0,600.0,500.0,600.0
e656e46e3a4dc66fc0baa433c94bfd1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4264eae0ad6e1cbcea3d73d88becb787,188.0,33.0,413.0,108.0,75.0,225.0,900.0,600.0
adunit-showtime-dexter-sensory-plus-video-canvas-post-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6a3dbf08b82e45b3f3e79844f3a9aa18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-facebook-conversational-commerce-3-0-vn-unit2-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-kitkat-golden-break-gamify-en-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29383bc5de5a62c642fb9434d71863e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9278a3d31c76eaa929d2326e1b2062e1,0.0,801.0,600.0,900.0,99.0,600.0,900.0,600.0
b768aedc20d9c135b355b7cd8e8beff3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee11627c036ee9772446b6e3ac9da649,162.0,39.0,438.0,86.0,47.0,276.0,900.0,600.0
07f93a53c25007301d276ec20e7be491,53.0,384.0,552.0,530.0,146.0,499.0,900.0,600.0
2a6bbf47edb9f1cb3a722784c5e73e83,188.0,20.0,412.0,71.0,51.0,224.0,900.0,600.0
adunit-simple-feast-build-for-industry-survey-q3-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-gme-user-choice-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a9208f5502fa4ad01ddf92a77a0e8a3,185.0,8.0,422.0,68.0,60.0,237.0,500.0,600.0
404c5d32b088d0869fd7774ce7582f89,30.0,30.0,180.0,91.0,61.0,150.0,500.0,600.0
b1e8cf36fefced5b9f20d291026b06db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b285c9ac9aa1669a7350e4c4594ea571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b8595cc38764f2c30d986c4c8080671c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42dd2154c1b6f67a461463cf322c9830,0.0,0.0,457.0,141.0,141.0,457.0,900.0,600.0
adunit-mouser-user-choice-v2-cpe-canada-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7db3a9c286b1a445845bad68ff95f2bb,17.0,15.0,580.0,179.0,164.0,563.0,900.0,600.0
adunit-yamaha-wolverine-user-choice-av-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-van-cleef-and-arpels-frivole-wave-unit1-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-gme-user-choice-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73adaebd0fbf7778d06d9d711ba5c152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3bc6564698bdf9559b98b255737bbedb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
df89c44299ec66120e89ab1d1296c26f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-van-cleef-and-arpels-frivole-wave-unit1-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
