Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
e1ebbff8accc9d16ea82e3b8a6636d70,cta.png,_preview.png,199,819,397,878,59,198,900,600
adunit-ihop-window4-scary-face-mpu,cta.png,_preview.png,36,328,308,386,58,272,500,600
45390f174ef85b574d3b81a0f5c1bab0,cta.png,_preview.png,175,380,425,452,72,250,500,600
99bcf45376c5182e77af6b40ccfa2d3b,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
d60dcbc971efa0b4c3cb76c245c35ced,f5-cta-copy.png,_preview.png,109,825,380,840,15,271,900,600
3a6d279abd87aadd09f950bcb123e358,f3-cta-copy.png,_preview.png,172,357,499,383,26,327,500,600
adunit-mouser-user-choice-flight4-uk-cpe-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-cpe-av-uk-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-playstation-spring-sale-snsory-plus-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
677e3e6c41c26d12647a0deb0a58c758,cta_video.png,_preview.png,0,0,600,500,500,600,500,600
c2b3575ecfffe09f0f3b97a5883e6da6,cta.png,_preview.png,104,215,404,279,64,300,900,600
4b31e9f5af8d0a4bf2c565ffa8a43800,f4-cta.jpg,_preview.png,119,777,482,852,75,363,900,600
adunit-standard-chartered-year-end-2021-bio-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-cpe-av-uk-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nestle-maggi-varieties-bouillon-en-kwt-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
753b879a06a0f89feaa3928f37d4c6fe,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v2-cpe-av-uk-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-j-and-j-listerine-tonic3-exxon-fs,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
89f522cf0adb2cc171321fb50abc9fc5,cta.png,_preview.png,8,425,595,500,75,587,500,600
e37596726bbaf0321aed953b6f8e1be7,cta.png,_preview.png,366,154,600,204,50,234,500,600
025bf4faf2102b1376bddee41dc7948e,cta.png,_preview.png,165,394,436,471,77,271,500,600
2561bbefebc84dc200ca14d63b221d55,cta.png,_preview.png,23,334,263,392,58,240,500,600
24400997671ee80961dfe1ef30072499,cta.png,_preview.png,169,781,431,846,65,262,900,600
c154ec796ae46371d8bc35744ee47b0e,f2-cta copy.png,_preview.png,23,758,558,781,23,535,900,600
adunit-heineken-pure-malt-v2-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-jaguar-nameplate-refresh-f-type-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
2a25b8b900eeb431fc7627a231bbc562,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-windhoek-beer-year-end-2021-bio-v2-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v2-cpe-canada-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-livspace-before-after-in-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-flight4-uk-cpe-av-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-van-cleef-and-arpels-frivole-wave-unit2-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7feef5faff5461ca47f061ed5efbccf5,cta.png,_preview.png,104,215,404,279,64,300,900,600
adunit-mouser-user-choice-v2-cpe-av-aus-nz-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
fbb156a0dc35c2e9f126d5140ae6ea66,cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-jaguar-nameplate-refresh-f-type-back-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
94ed9dbaf0a8f0a64d4e04a3b1d9431a,cta.png,_preview.png,366,154,600,204,50,234,500,600
59f430cb4755fb8e77109dcc9c8fb888,cta.png,_preview.png,178,386,422,444,58,244,500,600
adunit-yamaha-wolverine-user-choice-av-v2-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
783719d2b23ee967711abba9de4e7884,cta.png,_preview.png,366,154,600,204,50,234,500,600
39869b76f24193f841d1f95442803be3,cta.png,_preview.png,104,215,404,279,64,300,900,600
024df5698f28a46ebf4ac1ac5df2c202,cta.png,_preview.png,29,330,267,397,67,238,900,600
adunit-doritos-niknaks-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-flight4-us-cpe-av-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-western-union-sensory-unit-swipe-up-v2-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-x2-x4-userchoice-cpe-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
74fb31e6b022b403306f12d715053717,cta.png,_preview.png,249,50,473,138,88,224,500,600
0792c911c288bd241c1e2a2b64bce488,cta.png,_preview.png,93,625,596,900,275,503,900,600
281ca748ff2f73232baa2a2d98041a63,cta.jpg,_preview.png,140,756,461,826,70,321,900,600
3c741855acd9576b4e311d5cd990ae77,cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-heineken-pure-malt-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4008b0311b08183a8e6d7d6d01cea464,cta-mpu-2.png,_preview.png,0,0,600,500,500,600,500,600
002dbbd85ef3fe6a2e7d0754fb9f9a1a,cta.png,_preview.png,110,328,489,401,73,379,500,600
4546fea5413797d10224198aaa34fe45,cta.jpg,_preview.png,171,255,435,305,50,264,900,600
88d9068b2d0ea2492b160a2e028d3429,cta.png,_preview.png,366,154,600,204,50,234,500,600
cd8d3632d222fd9e87e32c9d0ecafdea,cta.png,_preview.png,104,215,404,279,64,300,900,600
4c0bb312924b2faa49f1eb556a5377ec,cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-mouser-user-choice-flight4-aus-nz-cpe-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-showtime-dexture-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-engagement-plus-ihop-evergreen-olo-drag-left-mob,cta.png,_preview.png,53,452,265,511,59,212,900,600
3e46da2a3160460b9be21da8ea0ce68e,cta.png,_preview.png,308,726,560,777,51,252,900,600
f033db746b20e747ee528caa07f0b2de,cta2.png,_preview.png,35,779,565,843,64,530,900,600
adunit-mouser-user-choice-v2-cpe-av-aus-nz-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
6e628eb5fafe4a43309363ef8e8efc12,cta_end.png,_preview.png,314,412,571,470,58,257,500,600
b2504a570b6274172b6bd9558118f772,cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-yamaha-wolverine-user-choice-cpe-v2-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nestle-maggi-varieties-bouillon-en-uae-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
0a18978cdc8b64f900b0db6a297eb99d,cta.png,_preview.png,81,786,335,853,67,254,900,600
adunit-femsa-coca-cola-new-sugar-free-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
5dae3772408bcecb586bf62312c13838,cta.png,_preview.png,216,431,422,491,60,206,500,600
adunit-nestle-maggi-varieties-bouillon-ar-uae-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-showtime-dexture-post-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
f701e15a157e1418704c2b18a13fb471,endcard-cta.jpg,_preview.png,171,255,435,305,50,264,900,600
adunit-lionsgate-spiral-puzzle-v2-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-cpe-av-aus-nz-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
08fc9a9f04de967fe87c5061c32d3b84,cta.png,_preview.png,80,765,522,827,62,442,900,600
64a625126af2759b5e84aed912400e4f,cta-pre.png,_preview.png,237,454,393,497,43,156,500,600
eb84457fc98f942bb27157e930794c61,cta.png,_preview.png,104,215,404,279,64,300,900,600
5d8310907217d0f5385f765f133ad475,cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-tiger-crystel-beer-inner-fire-bio-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v3-aus-nz-cpe-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4febb144783cbf0059748799ed8b4945,cta.jpg,_preview.png,87,191,270,226,35,183,500,600
adunit-van-cleef-and-arpels-frivole-wave-unit2-tap-version-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nestle-maggi-varieties-bouillon-ar-kwt-v1-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-milk-ctc-swipe-to-catch-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
8091002d3367a188f845f2c9fcdbadea,cta.png,_preview.png,104,215,404,279,64,300,900,600
adunit-mouser-user-choice-v3-aus-nz-cpe-av-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
e1d358918210126d2348bb98e47dfa86,cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-ihop-ihoppy-hour-20-percent-off-mob,cta.png,_preview.png,143,739,458,806,67,315,900,600
adunit-ihop-window4-reeses-mpu,cta.png,_preview.png,105,295,344,343,48,239,500,600
727b84106211a421a6d6925655a4ff17,cta.png,_preview.png,366,154,600,204,50,234,500,600
6649faf7aaae3caa5ac3de30b5ac4829,cta.png,_preview.png,366,154,600,204,50,234,500,600
d63a7966d398d4dd0778d268d17fd2aa,cta.png,_preview.png,104,215,404,279,64,300,900,600
3a78fb0ee7c6e7fa0101fe1d6f49de29,cta.jpg,_preview.png,254,192,476,249,57,222,500,600
07f3a0ee847117a81ff9183befca007a,cta-compact-move.png,_preview.png,153,376,392,431,55,239,900,600
adunit-yamaha-rmax4-1000-le-sensory-plus-video-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-spiral-new-2-puzzle-v3-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
5190d04e9abb3684a856257429894a5b,end-cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-hitmans-wifes-body-guard-user-choice-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-doritos-niknaks-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
68c52769f63d072ef64e0dde04ed5ff0,cta.png,_preview.png,184,806,415,880,74,231,900,600
adunit-dreamies-catfood-slider-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
5cd2c1fa13b9cd4862f79304e5ca19cc,cta.png,_preview.png,366,154,600,204,50,234,500,600
98555b9df18ae8d010794161505020dd,cta.png,_preview.png,104,215,404,279,64,300,900,600
9155a2e9b6ccf3449b2403031ed99468,video-cta copy.jpg,_preview.png,131,399,445,457,58,314,500,600
adunit-j-j-e-commerce-v1-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
919ef5d6de221daf94537e4d87e98859,cta.png,_preview.png,178,406,423,462,56,245,500,600
adunit-showtime-dexter-sensory-plus-video-canvas-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
61dff450d1f6264618e7532f9e6c21dd,cta.png,_preview.png,366,154,600,204,50,234,500,600
2845ecbabd12a9d2d17283664c06fa7d,cta-sparkle.png,_preview.png,0,0,600,900,900,600,900,600
adunit-jaguar-nameplate-refresh-rc-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-find-the-fox-magnifying-glass-sg-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nutrella-barrilito-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
6b7ddb8af0b0d4b5e042ac9469300177,cta.png,_preview.png,104,215,404,279,64,300,900,600
23bd30ca17aae979afebc6f4e5f1fdd3,cta.png,_preview.png,366,154,600,204,50,234,500,600
5e3fbc83a60c730e234618fe5483800e,cta.png,_preview.png,366,154,600,204,50,234,500,600
45bc44f6b1529331c282ba1f72e13b3c,cta.png,_preview.png,237,349,495,396,47,258,500,600
adunit-western-union-kroger-scrub-auto-engagement-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4342ea931e3e9ae5c51aed541a61465d,cta_en1.png,_preview.png,0,734,600,835,101,600,900,600
295e3365c5ed156b3ae4c8f3194add31,cta.jpg,_preview.png,183,809,416,866,57,233,900,600
adunit-femsa-coca-cola-christmas-village-v3-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-runnings-maps-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
8932a4d6d34de7718182c18cc30779e8,cta.png,_preview.png,104,215,404,279,64,300,900,600
adunit-hennessy-vsop-refik-anadol-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-kitkat-golden-break-gamify-arabic-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-cpe-uk-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
68d489e40aa39d4498507af1ccdf249a,cta.png,_preview.png,106,731,468,797,66,362,900,600
3faf6a6e515ee4a3d08934b3e93a4a9e,cta_not_used.jpg,_preview.png,135,400,449,458,58,314,500,600
3c8eed5eead83f9798db8c24578d7a19,cta.png,_preview.png,104,215,404,279,64,300,900,600
b50d6442906a8362508d2a97bb9ba01e,f5-cta-rev.png,_preview.png,0,0,600,900,900,600,900,600
adunit-western-union-sensory-unit-swipe-up-v2-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
b500b45f2e556f55a488bc21c045877f,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
67169407f4dd5762a97f973e82e550bd,cta.jpg,_preview.png,192,798,600,900,102,408,900,600
adunit-lionsgate-spiral-new-2-puzzle-v4-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
0692cec4544cb0287225a7bccebc916b,cta.jpg,_preview.png,113,728,399,811,83,286,900,600
adunit-heineken-celebrations2-za-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7110d440d9d424eec0ddb5f114058c06,cta.png,_preview.png,366,154,600,204,50,234,500,600
bdc1911c958ee9f1d54097420bc0088d,cta.png,_preview.png,104,215,404,279,64,300,900,600
adunit-showtime-dexter-sensory-plus-video-canvas-v4-post-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-facebook-conversational-commerce-3-0-th-unit1-v2-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
bf16a83492d04640042f674af85d2aac,cta.png,_preview.png,175,380,425,452,72,250,500,600
adunit-lionsgate-spiral-new-puzzle-v2-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-spiral-puzzle-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
265680a6c85f2381bb49965579b0fd89,cta.png,_preview.png,172,692,428,751,59,256,900,600
02d99db5aa9193b2bfc98ad6998e0ea7,cta.png,_preview.png,366,154,600,204,50,234,500,600
46a614be24dc2639baeb3a4887dfee2f,cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-simba-save-the-flavour-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-western-union-ralphs-scrub-v2-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
29f4c491737ce1cd367ff019e7b2ccb7,cta.png,_preview.png,182,800,418,860,60,236,900,600
917250eb5213e41aa11f92282ec0b19a,video-cta.png,_preview.png,0,5,600,156,151,600,500,600
adunit-mouser-user-choice-v3-uk-cpe-av-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
40735b62ef7f9da459b39d173ee56ac3,cta.png,_preview.png,165,791,435,851,60,270,900,600
d982317438736aac9cb37b3e66a2f555,cta.png,_preview.png,121,155,440,285,130,319,500,600
adunit-chanel-j12-singapore-exxon-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
bfeea6509482aeb0aaeed455fadb9c4e,cta.png,_preview.png,220,120,508,184,64,288,500,600
877843b799b1b074584fc22f9157f447,endcard-cta-3.png,_preview.png,0,0,600,900,900,600,900,600
26877a2094850375ec053651dd7aa4ea,cta.png,_preview.png,165,680,441,743,63,276,900,600
05dff647236dcc065f51eea259e8a120,4cta.png,_preview.png,141,820,457,888,68,316,900,600
adunit-christian-dior-popup-store-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-sensory-plus-video-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-spiral-new-puzzle-v3-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
9e2b17d1c9addd70a9da0c72dfec0e3c,cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-mouser-user-choice-v3-uk-cpe-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-volks-wagen-2021-new-polo-v1-v3-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
ddc12737f9718263bfb0f54843da0478,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
2a355ca0d306921e195591e5b2374b6a,EST-cta.png,_preview.png,264,262,525,314,52,261,500,600
adunit-femsa-coca-cola-christmas-village-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-tap-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-panoramic-hotspot-explorer-cpe-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
c47fa6c0b4462b654c222e2f4be62b3d,cta.png,_preview.png,104,215,404,279,64,300,900,600
adunit-facebook-conversational-commerce-3-0-th-bio1-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
958fb9e4304628629f9848dee96ad338,end-screen-cta-copy.png,_preview.png,26,712,460,742,30,434,900,600
df91c37d7078b8b406deaea243bb3746,video-cta.png,_preview.png,200,766,403,813,47,203,900,600
adunit-city-square-mall-cny-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
f398e921861a533315cd9e1085e2059c,cta.png,_preview.png,104,215,404,279,64,300,900,600
adunit-ihop-window4-reeses-mob,end-cta.png,_preview.png,157,423,443,496,73,286,900,600
9d0bbd449e1c907e9f554bb9df1c4a10,cta.jpg,_preview.png,140,756,461,826,70,321,900,600
52054fa91799a747b8ddf3f3118f40e9,cta_video.png,_preview.png,0,0,600,500,500,600,500,600
adunit-lionsgate-spiral-new-2-puzzle-v4-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
dbe499749ecc456991332fc5d847ad2e,end-cta.png,_preview.png,366,154,600,204,50,234,500,600
e334f7ef4caacc9552993029ad56a52b,cta.png,_preview.png,104,215,404,279,64,300,900,600
ccce5533b26203d07100376c394951a6,end-cta.png,_preview.png,366,154,600,204,50,234,500,600
8f3f46fa6a0accfd8b4563f2e35aaba5,f2-cta.png,_preview.png,30,498,253,569,71,223,900,600
adunit-yamaha-x4-seonsory-plus-mpu,cta.jpg,_preview.png,192,435,409,490,55,217,500,600
adunit-yamaha-wolverine-user-choice-av-reuse-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
d9211cc52590fe62718030dbc1a9389a,1cta.jpg,_preview.png,87,191,270,226,35,183,500,600
a1a3485dee81692a3ea64143aa51e90f,cta_hk.png,_preview.png,18,173,178,225,52,160,500,600
adunit-lionsgate-uwomt-user-slider-sensory-video-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3ec1bd3422d0512c1fa1c06b7277df65,cta.png,_preview.png,104,215,404,279,64,300,900,600
adunit-mouser-user-choice-v2-cpe-uk-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
