Assets,number_of_files,all_files,concat
0a18978cdc8b64f900b0db6a297eb99d,18,"['engagement_instruction_2.png', 'engagement_instruction_3.jpg', 'video.mp4', 'gradient.png', 'click.png', 'end-copy.jpg', 'cta.png', 'scrub-screen.jpg', 'end-image.jpg', 'engagement_instruction_1.png', 'sscrub-screen-de.png', '_preview.png', 'engagement_animation_1.png', 'full-click.png', 'end-copy-de.png', 'clicki.png', 'scrub-screen-de.png', 'game_1.png']",engagement_instruction_2.png engagement_instruction_3.jpg video.mp4 gradient.png click.png end-copy.jpg cta.png scrub-screen.jpg end-image.jpg engagement_instruction_1.png sscrub-screen-de.png _preview.png engagement_animation_1.png full-click.png end-copy-de.png clicki.png scrub-screen-de.png game_1.png
942616462420cb3890d00c65fc644e73,13,"['logo.png', 'video.mp4', 'game_2.png', 'clickable-layer.jpg', 'cta.png', 'engagement_animation.png', 'landing.jpg', '_preview.png', 'video-end.jpg', 'start_text.png', 'engagement_instruction.png', 'game_1.png', 'endframe.png']",logo.png video.mp4 game_2.png clickable-layer.jpg cta.png engagement_animation.png landing.jpg _preview.png video-end.jpg start_text.png engagement_instruction.png game_1.png endframe.png
b22916b05fb1e90b8b8d33812483022c,17,"['thumbnail.jpg', 'landing_2.jpg', 'endframe_4.png', 'video.mp4', 'MPU-click-area.png', 'cta.png', 'gametext_2.png', 'engagement_animation.png', '_preview.png', 'endframe_3.png', 'engagement_instruction.png', 'landing_1.jpg', 'endframe_5.png', 'endframe_2.png', 'advertised_item.png', 'gametext_1.png', 'endframe_1.jpg']",thumbnail.jpg landing_2.jpg endframe_4.png video.mp4 MPU-click-area.png cta.png gametext_2.png engagement_animation.png _preview.png endframe_3.png engagement_instruction.png landing_1.jpg endframe_5.png endframe_2.png advertised_item.png gametext_1.png endframe_1.jpg
adunit-ntuc-fair-price-christmas-mob,24,"['landingtext.png', 'game_2.png', 'end-sparkle-2.png', 'sparkle-2.png', 'sparkle-4.png', 'cta.png', 'game_3.png', 'game_4.png', 'endtext_1.png', 'sparkle-3.png', 'ginger-bread.png', 'engagement_animation_1.png', 'engagement_instruction.png', 'sparks-5.png', 'snowman.png', 'fixed-cards.png', 'game_1.png', 'endtext_2.png', 'engagement_animation_2.png', 'sparkle-all.png', 'landing.png', 'end-sparkle-3.png', 'sparkle-1.png', 'end-sparkle-1.png']",landingtext.png game_2.png end-sparkle-2.png sparkle-2.png sparkle-4.png cta.png game_3.png game_4.png endtext_1.png sparkle-3.png ginger-bread.png engagement_animation_1.png engagement_instruction.png sparks-5.png snowman.png fixed-cards.png game_1.png endtext_2.png engagement_animation_2.png sparkle-all.png landing.png end-sparkle-3.png sparkle-1.png end-sparkle-1.png
adunit-lionsgate-uwomt-user-slider-sensory-video-final-mob,13,"['landing_2.jpg', 'logo.png', 'bg-shade.png', 'javi-copy-cta.png', 'cta.png', 'end-bg.jpg', 'engagement_animation.png', 'cage.mp4', 'engagement_instruction.png', 'javi.mp4', 'fs-black.jpg', 'landing_1.jpg', 'endframe.png']",landing_2.jpg logo.png bg-shade.png javi-copy-cta.png cta.png end-bg.jpg engagement_animation.png cage.mp4 engagement_instruction.png javi.mp4 fs-black.jpg landing_1.jpg endframe.png
adunit-mouser-user-choice-v3-aus-nz-cpe-mpu,13,"['logo.png', 'landing_3.png', 'background.png', 'cta.png', 'engagement_animation_3.png', 'endframe_3.png', 'engagement_animation_1.png', 'landing_2.png', 'landing_4.png', 'engagement_animation_2.png', 'endframe_2.png', 'landing_1.png', 'endframe_1.png']",logo.png landing_3.png background.png cta.png engagement_animation_3.png endframe_3.png engagement_animation_1.png landing_2.png landing_4.png engagement_animation_2.png endframe_2.png landing_1.png endframe_1.png
c911bb936656e056779e31c273417b46,17,"['thumbnail.jpg', 'video.mp4', 'MPU-click-area.png', 'header.jpg', 'end-cta.png', 'end-bg.jpg', 'fr-1-icon.png', 'rev-thumbnail-mpu.jpg', 'fr-1-copy.png', 'end-willowgrove.png', '_preview.png', 'end-framingdale.png', 'fr-2-img.png', 'end-brooklyn.png', 'end-allentown.png', 'fr-2-copy-ny.png', 'fr-2-copy.png']",thumbnail.jpg video.mp4 MPU-click-area.png header.jpg end-cta.png end-bg.jpg fr-1-icon.png rev-thumbnail-mpu.jpg fr-1-copy.png end-willowgrove.png _preview.png end-framingdale.png fr-2-img.png end-brooklyn.png end-allentown.png fr-2-copy-ny.png fr-2-copy.png
9931c8470e7412c45c890f4f7c59c1f4,13,"['logo.png', 'video.mp4', 'cta.png', 'engageable-layer.png', 'engagement_animation.png', 'video-start.jpg', '_preview.png', 'video-end.jpg', 'start_text.png', 'engagement_instruction.png', 'endframe.jpg', 'game_1.png', 'clickable-layer.png']",logo.png video.mp4 cta.png engageable-layer.png engagement_animation.png video-start.jpg _preview.png video-end.jpg start_text.png engagement_instruction.png endframe.jpg game_1.png clickable-layer.png
adunit-mouser-user-choice-cpe-av-aus-nz-mpu,13,"['logo.png', 'arrow1.png', 'bg.png', 'background.png', 'cta.png', 'option1-copy.png', 'arrow2.png', 'option3-copy.png', 'triangle.png', 'arrow3.png', 'xshape.png', 'option2-copy.png', 'zshape.png']",logo.png arrow1.png bg.png background.png cta.png option1-copy.png arrow2.png option3-copy.png triangle.png arrow3.png xshape.png option2-copy.png zshape.png
adunit-simple-feast-build-for-industry-survey-q5-mob,6,"['game_2.png', 'thank-you.png', 'game_1.png', 'landing_2.png', 'landing_1.png', 'endframe.png']",game_2.png thank-you.png game_1.png landing_2.png landing_1.png endframe.png
