Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
adunit-lionsgate-uwomt-user-slider-sensory-video-final-tune3-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-western-union-kroger-scrub-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lexus-video-carousel-cpe-av-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
fbdd6f2bc08bfb43725cd6b4c52907ea,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-wolverine-user-choice-cpe-reuse-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-runnings-maps-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-tap-600-1200-final-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
b0228441fb421b8c322d67a6746f5f3e,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-cpe-aus-nz-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-the-botanist-gin-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-rmax2-1000-sports-sensory-plus-video-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v3-canada-cpe-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
fe116dea417bfe1b97e0b2dcf846c25d,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
03c532904ec03423c5e30463a62401a5,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
cc6c33bd4409ded3155793811af5c72b,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v3-aus-nz-cpe-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
cafcf13bef3457ebed7e08e02fa49252,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-hitmans-wifes-body-guard-user-choice-unit3-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-uwomt-sensory-plus-tune-4-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
eabca629979238e5e3d65f6f4cd818fb,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-scotch-brite-scrub-dots-sponge-swipe-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v3-aus-cpe-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-user-slider-seat-interior-300-600-cpe-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
b25e2955ba18f9f0f63a3642abdee471,logo.png,_preview.png,235,35,366,112,77,131,500,600
adunit-hennessy-vsop-refik-anadol-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-scotch-brite-gamification-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4f23f2bdbb2c99b8d63bba659d22fe79,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
e7b3f462f7d1cc8dcaa9c076eaedd1a8,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
8c0f5a32827b9e60dbd30b77178fe184,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
62dca5e1826d627612856c463e98026f,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
ae98b1f2a6ca87429bb43d29df7c682a,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
676e0507f9e1ed8fa6880eafcf91547b,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
29df3928b70391dec741b20782beeefc,logo.png,_preview.png,167,367,439,467,100,272,500,600
adunit-mouser-user-choice-flight4-us-cpe-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
d217e3878a25f52d495d0c3eea30211a,logo.png,_preview.png,202,38,398,152,114,196,900,600
3ba594c8b6a2376bc1013a0d13b83200,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
06615e719bb053415093a4572a1f1d31,logo.png,_preview.png,30,762,266,869,107,236,900,600
adunit-lionsgate-moonfall-parallax-cta5-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
5b4d2cc82bf11b1fa80b366fdd7a5867,f3-logo.png,_preview.png,173,39,427,125,86,254,900,600
adunit-chanel-j12-2022-slider-cta2-en-fs,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
07a8072d594af3c04ef47e8722fc1b38,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
f722cbe03a320f89c6abdfd3fe796047,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4332420a9acfddfe6dedfe9b0646afd6,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-user-slider-seat-interior-v1-cpe-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-western-union-sensory-unit-swipe-right-v2-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3c162d32bb9bce8199f44c665b20977d,logo_big.png,_preview.png,0,0,600,900,900,600,900,600
adunit-chanel-j12-tw-black-en-2022-v1-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
79bb17ace9de9ef7def221cc38b50c0c,logo.png,_preview.png,46,40,134,76,36,88,900,600
adunit-lionsgate-spiral-new-puzzle-v2-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
5c6befcf9b28fadcedb2430c0800f433,f4-logo.png,_preview.png,0,0,600,500,500,600,500,600
39872cc99f017cc22001ee9498584e13,logo_en.png,_preview.png,26,761,587,848,87,561,900,600
77af46ea55c251a18213104bd760d1d2,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
c451990f363a5119a838d33acda877f1,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-ggpoker-spin-and-gold-sensory-v1-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3cea7861b4a43a0695ae177cf0829267,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7a6ba94986ecc183914a48eed61ebda7,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
74ca5c4df0e45247e224523c26d7ebf3,logo.jpg,_preview.png,0,0,600,244,244,600,900,600
eb31bf1739ffa01b1d458fe2c610230a,video-logo.png,_preview.png,231,170,562,213,43,331,900,600
95a9add1872e1666a9e413e18a15142b,logo_bottom.jpg,_preview.png,0,798,192,900,102,192,900,600
adunit-scotch-brite-scrub-dots-sponge-swap-thai-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-secom-rs-avanca-rs-phase2-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
74858c868467c9f78a8989e87eb54c1c,logo_bottom.jpg,_preview.png,0,398,192,500,102,192,500,600
3dfba0efa433d3f1f248b373edc2b176,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
032c21ac0d52d23f683dc4c2b7388865,logo_zh.png,_preview.png,279,669,560,793,124,281,900,600
98db637879a2eee67d49dd05b4a92d83,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
db671d7ebafdc3b7259109fbc18eaac9,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-showtime-dexture-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-spiral-new-2-puzzle-v5-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
8c07f1799c55b47a5cf24d50fd771668,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nestle-maggi-varieties-bouillon-en-uae-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
cce594945c50492d887116e17ebd966f,logo.png,_preview.png,182,20,419,132,112,237,500,600
f16751048b64354c30b034c44981225f,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
03f2fc9a332b87e896b2da508a061754,logo - updated.png,_preview.png,374,716,494,829,113,120,900,600
7ff33d15bd3e7d73cede0691a393c288,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3ebf3ba9b654b8281c7b45e65133986f,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
