Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
adunit-therezopolis-beer-chegou-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
9ecf3c519703026495d4f82df8bb2388,engagement_instruction.png,_preview.png,137,393,461,478,85,324,500,600
adunit-jaguar-nameplate-refresh-v2-lca-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
edd62a365ff46ae8c2e7a88dcb48ba56,engagement_instruction.png,_preview.png,140,559,466,855,296,326,900,600
adunit-van-cleef-and-arpels-frivole-wave-unit2-tap-version-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-j12-tw-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-wolverine-user-choice-cpe-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-gm-ces-user-choice-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
267aa12df20c85a8c215e3d6f7a74879,engagement_instruction.png,_preview.png,55,621,533,730,109,478,900,600
f43220f51d51bba30046e637600bd773,engagement_instruction.png,_preview.png,41,375,566,470,95,525,500,600
28a291ca9f966fdc0e1bc917c019aced,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
b6519446fad0a84445faf9620f0fa02e,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
85d3838428307a4c8b16712bdc15330e,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
adunit-scotch-brite-gamification-v2-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3f749b8fd9e49bca68b5fdc0ca391cd8,engagement_instruction_ar.png,_preview.png,248,0,507,85,85,259,900,600
5a051f7c0a58d5301f9953827218bc55,engagement_instruction.png,_preview.png,0,0,600,900,900,600,900,600
2aab06df5509c6727fd35c7344796eb1,engagement_animation_2.png,_preview.png,451,400,513,481,81,62,900,600
adunit-lionsgate-moonfall-parallax-cta4-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4e232e906e1e6a2b6cd8eedc467905f2,engagement_instruction.png,_preview.png,22,386,477,514,128,455,900,600
adunit-showtime-first-lady-sensory-plus-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
fb755cbcc0e9b7069382745e6841f2ba,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
db4c6d9a38437a0b76bb047ca37519d4,engagement_instruction.png,_preview.png,113,374,490,475,101,377,500,600
